Mandant,Werk,Materialnummer,Mengeneinheit,Menge,Nettowert,Waehrung,Belegdatum
100,1000,MAT-FUEL-DIESEL,L,450.00,1200.00,EUR,15.05.2026
100,1000,MAT-FUEL-DIESEL,GAL,120.00,1280.00,EUR,18.05.2026
100,1100,MAT-FUEL-PETROL,L,350.00,980.00,EUR,20.05.2026
100,1200,MAT-FUEL-GAS,M3,800.00,1600.00,EUR,22.05.2026
100,1000,MAT-PROC-STEEL,KG,5000.00,15000.00,EUR,24.05.2026
100,2000,MAT-FUEL-DIESEL,L,150.00,45000.00,INR,25.05.2026
100,1100,MAT-PROC-PLASTIC,KG,1200.00,3400.00,EUR,12.04.2026
100,3000,MAT-FUEL-PETROL,GAL,50.00,220.00,USD,10.05.2026
100,1200,MAT-FUEL-DIESEL,BOX,20.00,600.00,EUR,08.05.2026
100,1000,MAT-FUEL-DIESEL,L,-50.00,-130.00,EUR,05.05.2026
100,1100,MAT-FUEL-PETROL,L,0.00,0.00,EUR,02.05.2026
100,1000,MAT-FUEL-DIESEL,LB,1200.00,3200.00,EUR,01.05.2026
100,3000,MAT-FUEL-GAS,M3,12000.00,24000.00,USD,28.04.2026
100,2000,MAT-PROC-COPPER,KG,350.00,120000.00,INR,15.04.2026
100,1000,MAT-FUEL-DIESEL,L,480.00,1280.00,EUR,20.12.2023
100,1100,MAT-FUEL-PETROL,L,380.00,1050.00,EUR,10.06.2024
100,1000,MAT-FUEL-DIESEL,L,90000.00,240000.00,EUR,25.05.2026
100,1200,MAT-FUEL-GAS,M3,550.00,1100.00,EUR,14.05.2026
100,3000,MAT-FUEL-DIESEL,GAL,45.00,195.00,USD,28.12.2028
100,1100,MAT-PROC-STEEL,KG,800.00,2400.00,EUR,10.01.2021
